acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,target
0.136,0.679,226260,0.391,0.00221,1,0.196,-7.473,1,0.139,119.892,0.0879,1
0.0195,0.792,230006,0.256,0.948,0,0.095,-13.66,0,0.0727,107.998,0.108,1
0.023,0.524,224129,0.744,1.84E-05,5,0.131,-4.689,0,0.0693,115.032,0.23,1
0.0522,0.621,163636,0.601,0,6,0.46,-5.616,0,0.148,116.735,0.457,1
0.462,0.649,201429,0.494,0.142,11,0.0782,-7.148,1,0.0256,112.023,0.173,1
0.0112,0.725,169741,0.949,0.00196,7,0.152,-3.416,1,0.0814,128.001,0.581,1
0.342,0.782,173611,0.5,2.05E-05,5,0.133,-6.473,0,0.0611,102.001,0.281,1
0.72,0.598,181132,0.536,0.000102,8,0.102,-8.84,0,0.0634,105.765,0.243,1
0.19,0.557,182983,0.6,0.0776,7,0.178,-8.567,1,0.543,180.892,0.143,1
0.000433,0.602,177293,0.803,0.433,1,0.0677,-8.831,1,0.197,159.977,0.324,1
0.231,0.762,178462,0.793,0.00425,5,0.306,-5.796,1,0.0732,155.979,0.593,1
0.00711,0.671,209795,0.911,0.8,8,0.431,-4.445,1,0.0499,119.043,0.1,1
0.491,0.658,137333,0.463,0.012,7,0.243,-8.918,0,0.0488,89.94,0.166,1
0.0195,0.649,108635,0.431,0,1,0.79,-11.863,1,0.291,76.922,0.685,1
0.00561,0.773,211960,0.564,1.99E-05,1,0.213,-7.241,1,0.249,155.976,0.0588,1
0.315,0.583,178878,0.514,6.94E-06,10,0.101,-10.168,0,0.138,99.862,0.205,1
0.0138,0.733,196743,0.631,0.0406,6,0.106,-7.315,1,0.287,127.012,0.636,1
0.0178,0.723,195362,0.884,0,11,0.393,-4.662,0,0.0563,109.997,0.208,1
0.0182,0.697,188685,0.61,0.0026,7,0.101,-9.408,1,0.0634,126.037,0.396,1
0.0213,0.716,226611,0.875,2.57E-06,11,0.535,-4.664,0,0.0594,109.991,0.099,1
0.217,0.691,252110,0.476,0.414,11,0.0889,-7.168,0,0.0364,109.015,0.0656,1
0.199,0.72,237452,0.517,0,10,0.164,-9.191,1,0.369,119.952,0.445,1
0.0419,0.63,206222,0.381,0.00158,6,0.169,-9.378,1,0.0398,135.037,0.066,1
0.174,0.778,132780,0.695,0,4,0.151,-6.865,0,0.0913,149.996,0.472,1
0.0225,0.703,184054,0.635,0.86,9,0.246,-9.706,1,0.0465,104.979,0.18,1
0.032,0.766,183053,0.823,0.566,10,0.222,-8.886,0,0.0674,122.013,0.202,1
0.145,0.621,162403,0.49,0.000168,1,0.109,-8.886,0,0.141,169.992,0.0897,1
0.121,0.563,123529,0.942,0,2,0.32,-2.834,1,0.0268,102.063,0.471,1
0.0227,0.666,211706,0.672,0.000141,5,0.316,-7.373,0,0.0584,100.027,0.229,1
0.103,0.526,260571,0.696,0.000312,9,0.107,-6.56,0,0.0475,104.754,0.0377,1
0.0157,0.773,166090,0.596,4.00E-05,1,0.0659,-7.869,1,0.0309,124.983,0.262,1
0.223,0.624,223792,0.724,6.77E-06,10,0.361,-6.033,0,0.107,147.932,0.332,1
0.168,0.788,206400,0.785,2.47E-05,0,0.108,-6.854,1,0.216,99.99,0.557,1
