Year,Month,ArtistScore,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,target
2002,11,0,0.692,0.562,6,-6.034,0,0.0924,0.0973,0,0.304,0.504,122.937,1
2015,10,0,0.613,0.926,2,-4.364,1,0.157,0.139,0,0.0909,0.625,97.306,0
2009,9,1,0.326,0.887,9,-4.199,0,0.0565,0.144,1.35E-06,0.49,0.706,202.354,1
2003,7,0,0.565,0.562,0,-7.43,1,0.0339,0.263,0,0.0994,0.652,75.035,1
1999,1,0,0.492,0.824,9,-11.195,1,0.037,0.503,0.804,0.0788,0.476,94.707,0
2007,11,0,0.757,0.403,11,-13.393,0,0.11,0.00333,0.355,0.186,0.762,123.016,0
1994,5,0,0.869,0.725,9,-12.507,0,0.256,0.0453,0,0.203,0.699,132.989,1
2011,3,0,0.463,0.725,11,-6.326,1,0.0275,0.0165,0,0.119,0.327,91.023,0
2008,1,1,0.846,0.815,4,-4.512,1,0.0761,0.139,2.19E-06,0.131,0.831,118.999,0
2006,5,1,0.283,0.487,4,-7.979,0,0.0397,0.329,0.0101,0.205,0.0739,109.685,0
2009,5,0,0.637,0.762,11,-8.895,0,0.0681,0.494,0.793,0.159,0.961,148.036,0
2000,1,0,0.832,0.531,10,-7.386,1,0.225,0.743,0,0.229,0.832,98.587,0
2014,2,1,0.55,0.543,0,-6.986,1,0.0287,0.193,0,0.0994,0.208,138.003,1
2006,4,0,0.519,0.986,3,-4.238,0,0.0531,6.21E-05,0.000328,0.365,0.452,119.984,0
2006,8,0,0.721,0.932,2,-4.988,1,0.0581,0.00574,8.69E-06,0.315,0.881,119.654,0
2003,1,0,0.381,0.382,8,-8.432,1,0.0579,0.702,0,0.108,0.244,145.989,0
2008,9,0,0.826,0.881,2,-6.637,1,0.0593,0.654,0.435,0.0841,0.926,124.026,0
2003,4,1,0.787,0.583,11,-7.16,0,0.176,0.0438,0,0.282,0.706,101.96,1
2010,6,0,0.272,0.85,0,-7.785,0,0.106,0.0168,0.944,0.073,0.177,105.855,0
2006,9,1,0.865,0.829,0,-6.981,0,0.315,0.0673,0,0.253,0.651,96.511,1
2010,10,1,0.7,0.695,7,-4.973,1,0.0897,0.00629,0,0.0319,0.633,122.028,1
1994,10,0,0.721,0.764,1,-7.868,1,0.248,0.14,4.34E-05,0.0409,0.532,90.8,0
2009,11,0,0.751,0.604,11,-8.278,1,0.0351,0.00603,0.725,0.12,0.327,120.129,0
1997,1,0,0.219,0.166,5,-28.018,0,0.0501,0.607,0.935,0.1,0.12,129.287,0
2006,2,0,0.632,0.827,4,-9.765,0,0.0341,0.00299,0,0.202,0.713,133.993,0
2002,1,0,0.788,0.786,1,-8.241,1,0.301,0.0822,0,0.274,0.711,98.13,0
2005,4,0,0.665,0.874,2,-4.082,1,0.0308,0.143,1.05E-05,0.251,0.766,103.98,1
2008,1,0,0.765,0.848,11,-5.935,0,0.0691,0.0238,0,0.332,0.864,83.002,0
2007,7,0,0.745,0.623,7,-5.416,1,0.332,0.0113,0,0.0756,0.568,100.113,0
